working_point,method,bin_lo,bin_hi,bin_center,density,n_jets
1% QCD mis-id,inclusive_hbb,75.0,80.0,77.5,0.0020210496457253617,169219
1% QCD mis-id,inclusive_hbb,80.0,85.0,82.5,0.002846016109302147,169219
1% QCD mis-id,inclusive_hbb,85.0,90.0,87.5,0.004095284808443496,169219
1% QCD mis-id,inclusive_hbb,90.0,95.0,92.5,0.006171883771916865,169219
1% QCD mis-id,inclusive_hbb,95.0,100.0,97.5,0.009451657319804513,169219
1% QCD mis-id,inclusive_hbb,100.0,105.0,102.5,0.013715953882247266,169219
1% QCD mis-id,inclusive_hbb,105.0,110.0,107.5,0.02008876071835905,169219
1% QCD mis-id,inclusive_hbb,110.0,115.0,112.5,0.02659748609789681,169219
1% QCD mis-id,inclusive_hbb,115.0,120.0,117.5,0.03148346225896619,169219
1% QCD mis-id,inclusive_hbb,120.0,125.0,122.5,0.030152642433769257,169219
1% QCD mis-id,inclusive_hbb,125.0,130.0,127.5,0.022280004018461284,169219
1% QCD mis-id,inclusive_hbb,130.0,135.0,132.5,0.01263215123597232,169219
1% QCD mis-id,inclusive_hbb,135.0,140.0,137.5,0.0066009136089918985,169219
1% QCD mis-id,inclusive_hbb,140.0,145.0,142.5,0.0036461626649489714,169219
1% QCD mis-id,inclusive_hbb,145.0,150.0,147.5,0.002311797138619186,169219
1% QCD mis-id,inclusive_hbb,150.0,155.0,152.5,0.0017574858615167328,169219
1% QCD mis-id,inclusive_hbb,155.0,160.0,157.5,0.0014147347520077533,169219
1% QCD mis-id,inclusive_hbb,160.0,165.0,162.5,0.0011535347685543585,169219
1% QCD mis-id,inclusive_hbb,165.0,170.0,167.5,0.0008982442869890497,169219
1% QCD mis-id,inclusive_hbb,170.0,175.0,172.5,0.0006807746175074903,169219
1% QCD mis-id,disco_only_lambda20,75.0,80.0,77.5,0.0015742723203975007,160201
1% QCD mis-id,disco_only_lambda20,80.0,85.0,82.5,0.0024356901642311845,160201
1% QCD mis-id,disco_only_lambda20,85.0,90.0,87.5,0.003686618685276621,160201
1% QCD mis-id,disco_only_lambda20,90.0,95.0,92.5,0.005816443093363962,160201
1% QCD mis-id,disco_only_lambda20,95.0,100.0,97.5,0.00916973052602668,160201
1% QCD mis-id,disco_only_lambda20,100.0,105.0,102.5,0.013513024263269268,160201
1% QCD mis-id,disco_only_lambda20,105.0,110.0,107.5,0.020139699502499983,160201
1% QCD mis-id,disco_only_lambda20,110.0,115.0,112.5,0.026848771231140878,160201
1% QCD mis-id,disco_only_lambda20,115.0,120.0,117.5,0.03203850163232439,160201
1% QCD mis-id,disco_only_lambda20,120.0,125.0,122.5,0.030800057427856256,160201
1% QCD mis-id,disco_only_lambda20,125.0,130.0,127.5,0.022756412257102017,160201
1% QCD mis-id,disco_only_lambda20,130.0,135.0,132.5,0.01286508823290741,160201
1% QCD mis-id,disco_only_lambda20,135.0,140.0,137.5,0.006692842117090405,160201
1% QCD mis-id,disco_only_lambda20,140.0,145.0,142.5,0.0036291908290210424,160201
1% QCD mis-id,disco_only_lambda20,145.0,150.0,147.5,0.002295865818565427,160201
1% QCD mis-id,disco_only_lambda20,150.0,155.0,152.5,0.0017315747092714778,160201
1% QCD mis-id,disco_only_lambda20,155.0,160.0,157.5,0.0013770201184761643,160201
1% QCD mis-id,disco_only_lambda20,160.0,165.0,162.5,0.0011086073120642193,160201
1% QCD mis-id,disco_only_lambda20,165.0,170.0,167.5,0.0008651631388068738,160201
1% QCD mis-id,disco_only_lambda20,170.0,175.0,172.5,0.0006554266203082378,160201
1% QCD mis-id,s1_disco_k2_lambda2,75.0,80.0,77.5,0.0015316877252940517,160346
1% QCD mis-id,s1_disco_k2_lambda2,80.0,85.0,82.5,0.002386090080201564,160346
1% QCD mis-id,s1_disco_k2_lambda2,85.0,90.0,87.5,0.003590984496027341,160346
1% QCD mis-id,s1_disco_k2_lambda2,90.0,95.0,92.5,0.005713893704863233,160346
1% QCD mis-id,s1_disco_k2_lambda2,95.0,100.0,97.5,0.00906789068639068,160346
1% QCD mis-id,s1_disco_k2_lambda2,100.0,105.0,102.5,0.013468374639841343,160346
1% QCD mis-id,s1_disco_k2_lambda2,105.0,110.0,107.5,0.0201838524191436,160346
1% QCD mis-id,s1_disco_k2_lambda2,110.0,115.0,112.5,0.026945480398637946,160346
1% QCD mis-id,s1_disco_k2_lambda2,115.0,120.0,117.5,0.0321617003230514,160346
1% QCD mis-id,s1_disco_k2_lambda2,120.0,125.0,122.5,0.03085951629600988,160346
1% QCD mis-id,s1_disco_k2_lambda2,125.0,130.0,127.5,0.02277325284073192,160346
1% QCD mis-id,s1_disco_k2_lambda2,130.0,135.0,132.5,0.012860938221096877,160346
1% QCD mis-id,s1_disco_k2_lambda2,135.0,140.0,137.5,0.006701757449515423,160346
1% QCD mis-id,s1_disco_k2_lambda2,140.0,145.0,142.5,0.00365334963142205,160346
1% QCD mis-id,s1_disco_k2_lambda2,145.0,150.0,147.5,0.0022975315879410776,160346
1% QCD mis-id,s1_disco_k2_lambda2,150.0,155.0,152.5,0.001743729185636062,160346
1% QCD mis-id,s1_disco_k2_lambda2,155.0,160.0,157.5,0.001394484427425692,160346
1% QCD mis-id,s1_disco_k2_lambda2,160.0,165.0,162.5,0.0011150886208573958,160346
1% QCD mis-id,s1_disco_k2_lambda2,165.0,170.0,167.5,0.0008818430144811845,160346
1% QCD mis-id,s1_disco_k2_lambda2,170.0,175.0,172.5,0.0006685542514312799,160346
