k,alpha,eff_at_1pct,jsd
0,0.0,0.9540087649628411,0.07787325313384305
1,0.0,0.9540087649628411,0.07787325313384305
1,0.1,0.9535052759970499,0.07500126662022098
1,0.2,0.9524652048940073,0.07171429382748537
1,0.3,0.9506285338779524,0.06886239699512083
1,0.4,0.9489916037896409,0.06590221617088302
1,0.5,0.9466490800098334,0.062459243674307705
1,0.6,0.9436647850834894,0.05872456254957563
1,0.7,0.9399678050717649,0.054637214814391266
1,0.8,0.9362140939089654,0.050190970814417604
1,0.9,0.9307147179516272,0.04629996437349165
1,1.0,0.9243868308087971,0.042510667404593847
2,0.0,0.9540087649628411,0.07787325313384305
2,0.1,0.9530549724853917,0.0766704544543558
2,0.2,0.9514570450634443,0.0748806297767523
2,0.3,0.9491369773642707,0.07329273460720395
2,0.4,0.9464847960515119,0.07163563455161714
2,0.5,0.942995830260396,0.06842243731187207
2,0.6,0.9390837446341787,0.06400401468766659
2,0.7,0.9339909419262117,0.06013088094356608
2,0.8,0.9271737486053592,0.05558475728876071
2,0.9,0.9189217299219001,0.04825982184279259
2,1.0,0.9083496435392674,0.04524604975358464
3,0.0,0.9540087649628411,0.07787325313384305
3,0.1,0.9527973185075925,0.07677261329839326
3,0.2,0.9511580246213196,0.07538448758247185
3,0.3,0.9487126756301886,0.07373549157076169
3,0.4,0.9460758590041792,0.0715163306357716
3,0.5,0.9422878727709385,0.07019741079407166
3,0.6,0.9374716344244625,0.06806528531733305
3,0.7,0.9316850570148069,0.06416612667528801
3,0.8,0.9254529036894159,0.06177980115401351
3,0.9,0.9173190749040298,0.0594689838555576
3,1.0,0.9068935439950077,0.05229574796583425
