method,k,alpha,eff_at_misid,jsd,misid_rate
unconstrained_ParT,0,0.0,0.9540087649628411,0.039816584763539234,0.01
S1 (mass-binned PCA),1,0.0,0.9540087649628411,0.039816584763539234,0.01
S1 (mass-binned PCA),1,0.1,0.9535052759970499,0.0384185737866303,0.01
S1 (mass-binned PCA),1,0.2,0.9524652048940073,0.0379297783785571,0.01
S1 (mass-binned PCA),1,0.3,0.9506285338779524,0.03713560174754704,0.01
S1 (mass-binned PCA),1,0.4,0.9489916037896409,0.037611253885567436,0.01
S1 (mass-binned PCA),1,0.5,0.9466490800098334,0.03823140433294951,0.01
S1 (mass-binned PCA),1,0.6,0.9436647850834894,0.03841352835475208,0.01
S1 (mass-binned PCA),1,0.7,0.9399678050717649,0.038092529059765706,0.01
S1 (mass-binned PCA),1,0.8,0.9362140939089654,0.03946057671062356,0.01
S1 (mass-binned PCA),1,0.9,0.9307147179516272,0.04144475219156425,0.01
S1 (mass-binned PCA),1,1.0,0.9243868308087971,0.043756463744574065,0.01
S1 (mass-binned PCA),2,0.0,0.9540087649628411,0.039816584763539234,0.01
S1 (mass-binned PCA),2,0.1,0.9530549724853917,0.03664172364520475,0.01
S1 (mass-binned PCA),2,0.2,0.9514570450634443,0.03515245568776924,0.01
S1 (mass-binned PCA),2,0.3,0.9491369773642707,0.03293139758076682,0.01
S1 (mass-binned PCA),2,0.4,0.9464847960515119,0.030464684635260503,0.01
S1 (mass-binned PCA),2,0.5,0.942995830260396,0.02670678592533492,0.01
S1 (mass-binned PCA),2,0.6,0.9390837446341787,0.024456685274734075,0.01
S1 (mass-binned PCA),2,0.7,0.9339909419262117,0.02269270648774095,0.01
S1 (mass-binned PCA),2,0.8,0.9271737486053592,0.022648455046478066,0.01
S1 (mass-binned PCA),2,0.9,0.9189217299219001,0.023176797269218757,0.01
S1 (mass-binned PCA),2,1.0,0.9083496435392674,0.024665096252296223,0.01
S1 (mass-binned PCA),3,0.0,0.9540087649628411,0.039816584763539234,0.01
S1 (mass-binned PCA),3,0.1,0.9527973185075925,0.03651974310174434,0.01
S1 (mass-binned PCA),3,0.2,0.9511580246213196,0.03378058120844711,0.01
S1 (mass-binned PCA),3,0.3,0.9487126756301886,0.031170430969081835,0.01
S1 (mass-binned PCA),3,0.4,0.9460758590041792,0.02725712011426358,0.01
S1 (mass-binned PCA),3,0.5,0.9422878727709385,0.0231318570675018,0.01
S1 (mass-binned PCA),3,0.6,0.9374716344244625,0.021338691840769947,0.01
S1 (mass-binned PCA),3,0.7,0.9316850570148069,0.019332256338073506,0.01
S1 (mass-binned PCA),3,0.8,0.9254529036894159,0.01747573447559752,0.01
S1 (mass-binned PCA),3,0.9,0.9173190749040298,0.01705561691308738,0.01
S1 (mass-binned PCA),3,1.0,0.9068935439950077,0.017846833753078654,0.01
plain PCA,1,0.0,0.9540087649628411,0.039816584763539234,0.01
plain PCA,1,0.1,0.9532168926457518,0.037173248134209934,0.01
plain PCA,1,0.2,0.9520338117660407,0.03580203836044103,0.01
plain PCA,1,0.3,0.9503661523042303,0.03383564810927254,0.01
plain PCA,1,0.4,0.9486630358729978,0.031515740624663974,0.01
plain PCA,1,0.5,0.9460002174694124,0.028920896339308666,0.01
plain PCA,1,0.6,0.943044288118606,0.026417650949629706,0.01
plain PCA,1,0.7,0.9399949887483217,0.024162567073240084,0.01
plain PCA,1,0.8,0.9358146120534786,0.0217658092206778,0.01
plain PCA,1,0.9,0.9315065902687165,0.020242635824539883,0.01
plain PCA,1,1.0,0.9257672888182901,0.019165068877944273,0.01
plain PCA,2,0.0,0.9540087649628411,0.039816584763539234,0.01
plain PCA,2,0.1,0.9530384258996615,0.036471174694345465,0.01
plain PCA,2,0.2,0.9511107486620903,0.033321023417171504,0.01
plain PCA,2,0.3,0.9493910856451278,0.028371774835208686,0.01
plain PCA,2,0.4,0.9469209167754014,0.024732550519884572,0.01
plain PCA,2,0.5,0.9435761426599346,0.021592170318431594,0.01
plain PCA,2,0.6,0.9389040959891076,0.018557156839603624,0.01
plain PCA,2,0.7,0.9336351903330119,0.015703722566711698,0.01
plain PCA,2,0.8,0.926972825778635,0.012867511061367416,0.01
plain PCA,2,0.9,0.9188992738412662,0.010044491065867522,0.01
plain PCA,2,1.0,0.9086959399406214,0.00793777822329256,0.01
plain PCA,3,0.0,0.9540087649628411,0.039816584763539234,0.01
plain PCA,3,0.1,0.9528564134566291,0.037917190066894244,0.01
plain PCA,3,0.2,0.9501522285887181,0.03609326437196365,0.01
plain PCA,3,0.3,0.9447202208732816,0.034110972016526936,0.01
plain PCA,3,0.4,0.9352910308050151,0.030660173816411,0.01
plain PCA,3,0.5,0.9155474083319151,0.02806758138544441,0.01
plain PCA,3,0.6,0.8769300410355326,0.023215073490280236,0.01
