working_point,method,bin_lo,bin_hi,bin_center,density,n_jets
inclusive,inclusive_qcd,75.0,85.0,80.0,0.1365766284444018,187587
inclusive,inclusive_qcd,85.0,95.0,90.0,0.12334543438511197,187587
inclusive,inclusive_qcd,95.0,105.0,100.0,0.1138138570370015,187587
inclusive,inclusive_qcd,105.0,115.0,110.0,0.10743281783918929,187587
inclusive,inclusive_qcd,115.0,125.0,120.0,0.10196868652945033,187587
inclusive,inclusive_qcd,125.0,135.0,130.0,0.09540639809794922,187587
inclusive,inclusive_qcd,135.0,145.0,140.0,0.08935054134881415,187587
inclusive,inclusive_qcd,145.0,155.0,150.0,0.08459541439438767,187587
inclusive,inclusive_qcd,155.0,165.0,160.0,0.07733478332720284,187587
inclusive,inclusive_qcd,165.0,175.0,170.0,0.07017543859649122,187587
50% QCD mis-id,vanilla_part_lambda0,75.0,85.0,80.0,0.14399795293891868,93793
50% QCD mis-id,vanilla_part_lambda0,85.0,95.0,90.0,0.1445950124209696,93793
50% QCD mis-id,vanilla_part_lambda0,95.0,105.0,100.0,0.14517074835009008,93793
50% QCD mis-id,vanilla_part_lambda0,105.0,115.0,110.0,0.14661008817289137,93793
50% QCD mis-id,vanilla_part_lambda0,115.0,125.0,120.0,0.1356284584137409,93793
50% QCD mis-id,vanilla_part_lambda0,125.0,135.0,130.0,0.09950635974966149,93793
50% QCD mis-id,vanilla_part_lambda0,135.0,145.0,140.0,0.06436514452037999,93793
50% QCD mis-id,vanilla_part_lambda0,145.0,155.0,150.0,0.047551523034768055,93793
50% QCD mis-id,vanilla_part_lambda0,155.0,165.0,160.0,0.038606292580469756,93793
50% QCD mis-id,vanilla_part_lambda0,165.0,175.0,170.0,0.03396841981811009,93793
50% QCD mis-id,s1_k2_alpha1_lambda0,75.0,85.0,80.0,0.13891228556502083,93793
50% QCD mis-id,s1_k2_alpha1_lambda0,85.0,95.0,90.0,0.11483799430661137,93793
50% QCD mis-id,s1_k2_alpha1_lambda0,95.0,105.0,100.0,0.10689497084004136,93793
50% QCD mis-id,s1_k2_alpha1_lambda0,105.0,115.0,110.0,0.10786519249837408,93793
50% QCD mis-id,s1_k2_alpha1_lambda0,115.0,125.0,120.0,0.10575416075826555,93793
50% QCD mis-id,s1_k2_alpha1_lambda0,125.0,135.0,130.0,0.09224568997686394,93793
50% QCD mis-id,s1_k2_alpha1_lambda0,135.0,145.0,140.0,0.08307656221679656,93793
50% QCD mis-id,s1_k2_alpha1_lambda0,145.0,155.0,150.0,0.08403612209866408,93793
50% QCD mis-id,s1_k2_alpha1_lambda0,155.0,165.0,160.0,0.08395082788694253,93793
50% QCD mis-id,s1_k2_alpha1_lambda0,165.0,175.0,170.0,0.08242619385241969,93793
10% QCD mis-id,vanilla_part_lambda0,75.0,85.0,80.0,0.12324750786289247,18759
10% QCD mis-id,vanilla_part_lambda0,85.0,95.0,90.0,0.12788528173143557,18759
10% QCD mis-id,vanilla_part_lambda0,95.0,105.0,100.0,0.1383335998720614,18759
10% QCD mis-id,vanilla_part_lambda0,105.0,115.0,110.0,0.1485686870302255,18759
10% QCD mis-id,vanilla_part_lambda0,115.0,125.0,120.0,0.15059438136361214,18759
10% QCD mis-id,vanilla_part_lambda0,125.0,135.0,130.0,0.10736179966949198,18759
10% QCD mis-id,vanilla_part_lambda0,135.0,145.0,140.0,0.07324484247561171,18759
10% QCD mis-id,vanilla_part_lambda0,145.0,155.0,150.0,0.056026440641825256,18759
10% QCD mis-id,vanilla_part_lambda0,155.0,165.0,160.0,0.042379657764273146,18759
10% QCD mis-id,vanilla_part_lambda0,165.0,175.0,170.0,0.03235780158857082,18759
10% QCD mis-id,s1_k2_alpha1_lambda0,75.0,85.0,80.0,0.11637080867850098,18759
10% QCD mis-id,s1_k2_alpha1_lambda0,85.0,95.0,90.0,0.10938749400287862,18759
10% QCD mis-id,s1_k2_alpha1_lambda0,95.0,105.0,100.0,0.10970734047657124,18759
10% QCD mis-id,s1_k2_alpha1_lambda0,105.0,115.0,110.0,0.1145583453275761,18759
