working_point,method,bin_lo,bin_hi,bin_center,density,n_jets
1% QCD mis-id,inclusive_qcd,75.0,80.0,77.5,0.014569395207505931,37517
1% QCD mis-id,inclusive_qcd,80.0,85.0,82.5,0.012922141962310419,37517
1% QCD mis-id,inclusive_qcd,85.0,90.0,87.5,0.012794199962683583,37517
1% QCD mis-id,inclusive_qcd,90.0,95.0,92.5,0.012117173547991578,37517
1% QCD mis-id,inclusive_qcd,95.0,100.0,97.5,0.011754671215715542,37517
1% QCD mis-id,inclusive_qcd,100.0,105.0,102.5,0.010944371884745582,37517
1% QCD mis-id,inclusive_qcd,105.0,110.0,107.5,0.01103499746781459,37517
1% QCD mis-id,inclusive_qcd,110.0,115.0,112.5,0.010421942052936003,37517
1% QCD mis-id,inclusive_qcd,115.0,120.0,117.5,0.010299330969960285,37517
1% QCD mis-id,inclusive_qcd,120.0,125.0,122.5,0.009723591971639524,37517
1% QCD mis-id,inclusive_qcd,125.0,130.0,127.5,0.010304661886611402,37517
1% QCD mis-id,inclusive_qcd,130.0,135.0,132.5,0.009377082389316843,37517
1% QCD mis-id,inclusive_qcd,135.0,140.0,137.5,0.009179838473225472,37517
1% QCD mis-id,inclusive_qcd,140.0,145.0,142.5,0.008790681557693846,37517
1% QCD mis-id,inclusive_qcd,145.0,150.0,147.5,0.008907961724018445,37517
1% QCD mis-id,inclusive_qcd,150.0,155.0,152.5,0.00793773489351494,37517
1% QCD mis-id,inclusive_qcd,155.0,160.0,157.5,0.007601887144494496,37517
1% QCD mis-id,inclusive_qcd,160.0,165.0,162.5,0.007436628728309833,37517
1% QCD mis-id,inclusive_qcd,165.0,170.0,167.5,0.007100780979289388,37517
1% QCD mis-id,inclusive_qcd,170.0,175.0,172.5,0.006780925980222299,37517
1% QCD mis-id,disco_only_lambda100,75.0,80.0,77.5,0.007446808510638298,376
1% QCD mis-id,disco_only_lambda100,80.0,85.0,82.5,0.007978723404255319,376
1% QCD mis-id,disco_only_lambda100,85.0,90.0,87.5,0.011702127659574468,376
1% QCD mis-id,disco_only_lambda100,90.0,95.0,92.5,0.010106382978723405,376
1% QCD mis-id,disco_only_lambda100,95.0,100.0,97.5,0.011702127659574468,376
1% QCD mis-id,disco_only_lambda100,100.0,105.0,102.5,0.01276595744680851,376
1% QCD mis-id,disco_only_lambda100,105.0,110.0,107.5,0.00851063829787234,376
1% QCD mis-id,disco_only_lambda100,110.0,115.0,112.5,0.018617021276595744,376
1% QCD mis-id,disco_only_lambda100,115.0,120.0,117.5,0.01223404255319149,376
1% QCD mis-id,disco_only_lambda100,120.0,125.0,122.5,0.018085106382978722,376
1% QCD mis-id,disco_only_lambda100,125.0,130.0,127.5,0.014361702127659574,376
1% QCD mis-id,disco_only_lambda100,130.0,135.0,132.5,0.01223404255319149,376
1% QCD mis-id,disco_only_lambda100,135.0,140.0,137.5,0.010106382978723405,376
1% QCD mis-id,disco_only_lambda100,140.0,145.0,142.5,0.006914893617021276,376
1% QCD mis-id,disco_only_lambda100,145.0,150.0,147.5,0.00851063829787234,376
1% QCD mis-id,disco_only_lambda100,150.0,155.0,152.5,0.006914893617021276,376
1% QCD mis-id,disco_only_lambda100,155.0,160.0,157.5,0.005851063829787234,376
1% QCD mis-id,disco_only_lambda100,160.0,165.0,162.5,0.005319148936170213,376
1% QCD mis-id,disco_only_lambda100,165.0,170.0,167.5,0.005319148936170213,376
1% QCD mis-id,disco_only_lambda100,170.0,175.0,172.5,0.005319148936170213,376
1% QCD mis-id,s1_disco_k1_lambda50,75.0,80.0,77.5,0.011702127659574468,376
1% QCD mis-id,s1_disco_k1_lambda50,80.0,85.0,82.5,0.009574468085106383,376
1% QCD mis-id,s1_disco_k1_lambda50,85.0,90.0,87.5,0.011702127659574468,376
1% QCD mis-id,s1_disco_k1_lambda50,90.0,95.0,92.5,0.01223404255319149,376
1% QCD mis-id,s1_disco_k1_lambda50,95.0,100.0,97.5,0.01276595744680851,376
1% QCD mis-id,s1_disco_k1_lambda50,100.0,105.0,102.5,0.009042553191489361,376
1% QCD mis-id,s1_disco_k1_lambda50,105.0,110.0,107.5,0.006382978723404255,376
1% QCD mis-id,s1_disco_k1_lambda50,110.0,115.0,112.5,0.017553191489361703,376
1% QCD mis-id,s1_disco_k1_lambda50,115.0,120.0,117.5,0.011170212765957447,376
1% QCD mis-id,s1_disco_k1_lambda50,120.0,125.0,122.5,0.017553191489361703,376
1% QCD mis-id,s1_disco_k1_lambda50,125.0,130.0,127.5,0.015425531914893617,376
1% QCD mis-id,s1_disco_k1_lambda50,130.0,135.0,132.5,0.011702127659574468,376
1% QCD mis-id,s1_disco_k1_lambda50,135.0,140.0,137.5,0.009574468085106383,376
1% QCD mis-id,s1_disco_k1_lambda50,140.0,145.0,142.5,0.005319148936170213,376
1% QCD mis-id,s1_disco_k1_lambda50,145.0,150.0,147.5,0.009042553191489361,376
1% QCD mis-id,s1_disco_k1_lambda50,150.0,155.0,152.5,0.007446808510638298,376
1% QCD mis-id,s1_disco_k1_lambda50,155.0,160.0,157.5,0.0047872340425531915,376
1% QCD mis-id,s1_disco_k1_lambda50,160.0,165.0,162.5,0.005319148936170213,376
1% QCD mis-id,s1_disco_k1_lambda50,165.0,170.0,167.5,0.005851063829787234,376
1% QCD mis-id,s1_disco_k1_lambda50,170.0,175.0,172.5,0.005851063829787234,376
