method,k,r2_test,r2_test_std
baseline,0,0.6765352328918273,
S1 (mass-binned PCA),1,0.03927224682368913,
RAV (iterative),1,0.6762641968087094,
plain PCA,1,0.4386568516946423,
random,1,0.6765313725305294,4.340815175062975e-06
S1 (mass-binned PCA),2,0.004200666617328985,
RAV (iterative),2,0.6744486880662265,
plain PCA,2,0.26942880531544877,
random,2,0.6765339170322181,2.660162339386195e-06
S1 (mass-binned PCA),4,-0.00015572275038833183,
RAV (iterative),4,0.6717782233572871,
plain PCA,4,0.16200114644331287,
random,4,0.6765297698398663,3.721615945328162e-06
S1 (mass-binned PCA),8,-0.0002220046901266759,
RAV (iterative),8,0.6619584624541395,
plain PCA,8,0.07519031788874131,
random,8,0.6765219117222289,9.467297476629595e-06
S1 (mass-binned PCA),16,-6.673417736635656e-05,
RAV (iterative),16,0.6049428254646869,
plain PCA,16,0.00781728555304928,
random,16,0.6765010272193506,5.103987748196819e-06
