i,sigma_i,sigma_i_over_sigma_1
1,4.834912898499942,1.0
2,3.293349802865415,0.6811601102239494
3,0.8696935937750558,0.17987782035223074
4,0.21836934360558016,0.045165103940823924
5,0.12561892890851428,0.02598163225391056
6,0.09893800723307303,0.020463245007737177
7,0.06287670455295145,0.013004723326548302
8,0.03816778031497656,0.00789420225684279
9,0.029184758466002252,0.006036253202215284
10,0.020650594054408656,0.004271140863947231
11,0.009520271953312471,0.0019690679342467964
12,0.005590824270102287,0.0011563443618264294
13,0.00361357666720601,0.0007473922991099057
14,0.0013374692174624712,0.00027662736548520416
15,0.0007441050152147311,0.00015390246542923113
16,0.0005809742237160659,0.00012016229369846897
17,0.00047206554636926903,9.763682537398552e-05
18,6.18003713851638e-05,1.2782106458285464e-05
19,1.255293678473364e-05,2.596310843289081e-06
20,8.795468351001236e-17,1.8191575599490278e-17
